"Trait","Year","Heritability","Evolvability","Region"
"Germination","2015",0.101712989488705,0.00217203897195392,"GLA"
"Germination","2015",0.143786272187472,480.182122398088,"MBA"
"Germination","2015",0.0214218679987356,1.10829297147755,"PRA"
"TrueLeaf","2015",0.0219138291352105,0.000209525456931446,"GLA"
"TrueLeaf","2015",0.00925576365234831,179.896080602669,"MBA"
"TrueLeaf","2015",0.023088680351158,3.95678662493884,"PRA"
"DTFF","2016",0.000110447800061301,0.000209525456931446,"GLA"
"DTFF","2016",6.51104078997806e-06,179.896080602669,"MBA"
"DTFF","2016",1.70362267298883e-05,3.95678662493884,"PRA"
"Number of Flowers","2016",0.178502194725762,0.0159747992536732,"GLA"
"Number of Flowers","2016",0.335095285342622,117.838709897489,"MBA"
"Number of Flowers","2016",0.0947495678511615,8.64802712501279,"PRA"
"Number of Fruit","2016",0.0372757663394034,0.137686042467708,"GLA"
"Number of Fruit","2016",6.17129322621942e-11,169.337966666931,"MBA"
"Number of Fruit","2016",0.0428075102929558,50.5267760255684,"PRA"
"seedmass (mg)","2016",NA,NA,"GLA"
"seedmass (mg)","2016",NA,NA,"MBA"
"seedmass (mg)","2016",NA,NA,"PRA"
"DTFF","2017",NA,NA,"GLA"
"DTFF","2017",NA,NA,"MBA"
"DTFF","2017",NA,NA,"PRA"
"Date to Bolt","2017",0.00184399479188564,7.20490321704532e-05,"GLA"
"Date to Bolt","2017",2.94869887206098e-12,287.262105847966,"MBA"
"Date to Bolt","2017",0.00202307816333954,11.9606697420099,"PRA"
"Date to Fruit","2017",0.00184399479188564,9.25455073305648e-06,"GLA"
"Date to Fruit","2017",2.94869887206098e-12,44.0450606587274,"MBA"
"Date to Fruit","2017",0.00202307816333954,11.2175119454505,"PRA"
"Number of Flowers","2017",0.0544858778749405,0.0060089274112469,"GLA"
"Number of Flowers","2017",0.121427162975986,6.23609494814618,"MBA"
"Number of Flowers","2017",0.292004988922419,6.22937668960098,"PRA"
"Number of Fruit","2017",0.066820927105282,0.0058659103864973,"GLA"
"Number of Fruit","2017",0.0328010004696243,2.94417655755045,"MBA"
"Number of Fruit","2017",0.0317605412293187,1.13426063358212,"PRA"
"Seedmass (mg)","2017",1.79048385055341e-18,7.94050857909246e-15,"GLA"
"Seedmass (mg)","2017",1.2696682983351e-16,3.62854373464292e-10,"MBA"
"Seedmass (mg)","2017",9.73400884353315e-13,0.997827762461957,"PRA"
"DTFF","2018",NA,NA,"GLA"
"DTFF","2018",NA,NA,"MBA"
"DTFF","2018",NA,NA,"PRA"
"Date to Bolt","2018",1.79048385055341e-18,0.000146011013078205,"GLA"
"Date to Bolt","2018",1.2696682983351e-16,235.864257415231,"MBA"
"Date to Bolt","2018",9.73400884353315e-13,10.4649533793954,"PRA"
"Date to Fruit","2018",1.79048385055341e-18,3.90403471032687e-06,"GLA"
"Date to Fruit","2018",1.2696682983351e-16,43.9664069855703,"MBA"
"Date to Fruit","2018",9.73400884353315e-13,15.5224602587313,"PRA"
"Number of Flowers","2018",0.0188953545633023,0.0100660817363701,"GLA"
"Number of Flowers","2018",0.225959267768715,15.0064528942601,"MBA"
"Number of Flowers","2018",0.118879286921296,2.2324938030399,"PRA"
"Number of Fruit","2018",0.0250400867563792,0.0042377930580965,"GLA"
"Number of Fruit","2018",0.145373071141653,26.2041804118939,"MBA"
"Number of Fruit","2018",0.013580844164226,1.08121691487677,"PRA"
"Seedmass (mg)","2018",0.0266691043232192,0.00044999781876901,"GLA"
"Seedmass (mg)","2018",0.0978084644526981,20.2083584342641,"MBA"
"Seedmass (mg)","2018",0.0155288991725565,1.13630991457464,"PRA"
