"","Trait","Year","Heritability"
"1","Germination","2015",0.346056808123875
"2","TrueLeaf","2015",0.172276469466312
"3","Date to first flower","2016",0.273101350514146
"4","Number of Flowers","2016",0.256853559519144
"5","Number of Fruit","2016",0.0696969105102354
"6","Seedmass","2016",0
"7","Date to First Flower","2017",0.165242855319743
"8","Date to bolt","2017",0.000701252054336342
"9","Date to fruit","2017",0.0577189383695291
"10","Number of Flowers","2018",0.104976942902249
"11","Number of Fruit","2018",0.03592801048899
"12","Date to bolt","2018",0.180310193723172
"13","Date to Fruit","2018",9.95817536777368e-12
"14","seedmass","2018",0.249759639897566
